Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Transformer.T_FP8285,    3.85178,   -24.78,    3.85178,  -144.78,    3.85178,    95.22, 1.68909E-006,  -175.17, 1.23969E-012,   -61.97,     139.88,   155.22,     139.88,    35.22,     139.88,   -84.78, 6.13407E-005,     4.83, 4.49585E-011,   -64.86
Transformer.T_FT6840,    2.74941,   -25.03,    2.74941,  -145.03,    2.74941,    94.97, 2.04706E-006,  -172.89, 1.49624E-012,   -61.18,    99.8469,   154.97,    99.8469,    34.97,     99.847,   -85.03, 7.43405E-005,     7.11, 5.32857E-011,   -62.83
Transformer.T_FX0837,   0.513815,   -24.78,   0.513814,  -144.78,   0.513815,    95.22, 2.2372E-007,  -175.20, 1.61289E-013,   -62.45,    18.6596,   155.22,    18.6596,    35.22,    18.6596,   -84.78, 8.12457E-006,     4.80, 5.79615E-012,   -63.81
Transformer.T_FX3749,   0.381268,   -24.83,   0.381268,  -144.83,   0.381268,    95.17, 2.01758E-007,  -174.35, 1.48294E-013,   -60.98,     13.846,   155.17,     13.846,    35.17,     13.846,   -84.83, 7.32701E-006,     5.65, 5.25613E-012,   -62.81
Transformer.T_FZ2829,   0.127388,   -24.82,   0.127388,  -144.82,   0.127388,    95.18, 6.43235E-008,  -174.53, 4.65002E-014,   -61.48,    4.62619,   155.18,    4.62619,    35.18,    4.62619,   -84.82, 2.33596E-006,     5.47, 1.69061E-012,   -64.08
Load.L_FF3296,    17.8467,   -25.00,    17.8467,  -145.00,    17.8467,    95.00, 1.29071E-005,  -173.42,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.L_FT1678,    18.1647,   -24.92,    18.1647,  -144.92,    18.1647,    95.08, 1.11719E-005,  -174.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.L_FT1731,    69.2607,   -24.83,    69.2607,  -144.83,    69.2607,    95.17, 3.65242E-005,  -174.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.L_FM0342,    66.5315,   -25.04,    66.5314,  -145.04,    66.5315,    94.96, 4.99317E-005,  -172.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.L_FP5503,    200.255,   -25.02,    200.255,  -145.02,    200.255,    94.98, 0.000147113,  -173.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.L_FIC1143,    199.764,   -25.03,    199.764,  -145.03,    199.764,    94.97, 0.000148784,  -172.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.L_FT6848,    40.0951,   -25.01,    40.0951,  -145.01,    40.0951,    94.99, 2.93072E-005,  -173.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
