Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_171994, 2.37442E-009,    78.69, 1.47255E-009,    18.43, 1.91997E-009,   104.04,          0,     0.00, 4.86165E-009,    73.30, 1.47255E-009,   -71.57, 1.39698E-009,   180.00, 9.31323E-010,   -90.00,          0,     0.00, 2.50766E-009,  -111.80
Line.L_CEI_MT_171995, 6.58545E-010,   -45.00, 6.58545E-010,   135.00,          0,     0.00,          0,     0.00,          0,     0.00, 6.58545E-010,   135.00, 2.37442E-009,  -168.69, 9.31323E-010,   -90.00,          0,     0.00, 2.9451E-009,  -161.57
Line.L_CEI_MT_172004, 1.04125E-009,   116.57, 2.98169E-009,    38.66, 2.0825E-009,    63.43,          0,     0.00, 5.4305E-009,    59.04, 4.65661E-010,     0.00, 3.63693E-009,  -129.81, 1.31709E-009,  -135.00,          0,     0.00, 4.65661E-009,  -126.87
Line.L_CEI_MT_172005, 4.65661E-010,     0.00, 6.58545E-010,  -135.00, 2.0825E-009,  -116.57,          0,     0.00, 2.50766E-009,  -111.80, 4.65661E-010,   180.00, 1.39698E-009,     0.00, 2.9451E-009,    71.57,          0,     0.00, 3.35793E-009,    56.31
Line.L_CEI_MT_13478A,    4.21256,   -41.64,    4.21256,  -161.64,    4.21256,    78.36,          0,     0.00, 1.92612E-006,   162.32,    4.21256,   138.36,    4.21256,    18.36,    4.21256,  -101.64,          0,     0.00, 1.92644E-006,   -17.62
Line.L_CEI_MT_12338A,    31.6354,   138.35,    31.6354,    18.35,    31.6354,  -101.65,          0,     0.00, 1.01622E-006,   -67.42,    31.6354,   -41.65,    31.6354,  -161.65,    31.6354,    78.35,          0,     0.00, 1.01657E-006,   112.63
Line.L_CEI_MT_14799,     2.1122,   -41.67,     2.1122,  -161.67,     2.1122,    78.33,          0,     0.00, 4.29318E-009,   139.40,     2.1122,   138.33,     2.1122,    18.33,     2.1122,  -101.67,          0,     0.00, 4.29318E-009,   -40.60
Line.L_CEI_MT_14800,    6.86463,   -41.67,    6.86463,  -161.67,    6.86463,    78.33,          0,     0.00, 1.68284E-008,    75.58,    6.86463,   138.33,    6.86463,    18.33,    6.86463,  -101.67,          0,     0.00, 1.49084E-008,  -104.47
Line.L_CEI_MT_14801,    6.86463,   138.33,    6.86463,    18.33,    6.86463,  -101.67,          0,     0.00, 2.10374E-008,   -84.92,    6.86463,   -41.67,    6.86463,  -161.67,    6.86463,    78.33,          0,     0.00, 1.92955E-008,    98.33
Line.L_CEI_MT_14802,    4.75243,   -41.67,    4.75243,  -161.67,    4.75243,    78.33,          0,     0.00, 9.78997E-009,    92.73,    4.75243,   138.33,    4.75243,    18.33,    4.75243,  -101.67,          0,     0.00, 1.09604E-008,  -102.26
